Title,Total Count,Unique Count
"Nanae Momiyama papers, 1928-circa 2000, bulk 1948-2000",5,1
"Anne Bowen Parsons collection of interviews on art, 1967-1968",5,3
"Jack Tworkov papers, 1926-1993",5,3
"Louisa Dresser manuscript on 17th century painting in New England, 1934-1935",5,5
"Raymond Jonson papers, 1910-1964",5,3
"Brenda Kuhn notes relating to Walt Kuhn, 1974-1985",5,3
"Hans Namuth photographs and papers, 1945-1985",5,4
"Passedoit Gallery exhibition catalogs, 1936-1959",5,5
"Photographs of paintings, ca. 1948-1962",5,5
"George Catlin manuscripts and drawings, circa 1893",5,5
"National Collection of Fine Arts records relating to Alexander Archipenko, 1964-1968",5,4
"August Jaccaci papers, 1889-1935, bulk 1904-1914",5,4
"Aaron Douglas papers, 1921-1973",5,3
"Norman Lewis papers, 1919-1971",5,3
"Paul Strand interview, 1971 Nov",5,3
"Virginia Teague papers relating to the Armory Show, 1913-1962, bulk 1913-1917",5,2
"James D. Smillie and Smillie family papers, 1853-1957",5,3
"John Frederick Kensett papers, 1806-1896",5,5
"Selected items from the Print Division of the New York Public Library, 1800-1954",5,5
"Henry Hudson and Theo Alice Ruggles Kitson papers, 1845-1985, bulk 1880s-1940s",5,2
"Charles J. Connick papers, 1901-1949",5,2
"Cleveland Institute of Art records, 1882-1978",5,4
"Coalition of Women's Art Organization Records, circa 1961-1981",5,5
"Elbridge Kingsley papers, 1842-1900",5,3
"Alfonso Ossorio papers, 1949-1985",5,4
"Kenneth Callahan papers, 1932-1963",5,2
"Arthur Sinclair Covey papers, 1882-1960",5,1
"Paul Vanderbilt papers, 1854-1992, bulk 1945-1992",5,4
"Irving Sandler interviews and papers, 1944-2017",5,5
"Federal art : a memoir of the thirties, circa 1980",5,5
"Marie Sterner and Marie Sterner Gallery papers, circa 1910-1951",5,4
"Naomi Savage Papers on Man Ray, 1913-2005",5,5
"Hans Hofmann papers, circa 1904-2011",5,5
"Meyer Schapiro papers, 1949-1982",5,1
"August Mosca papers, 1930-1969",5,3
"Charmion von Wiegand papers, 1926-1937",5,4
"Federal Writers' Project records relating to art in New Mexico, 1936-1938",5,5
"Christian Brinton papers, 1874-1967",5,3
"Allyn Cox papers, 1856-1982",5,3
"Selected Federal Art Project of the Work Projects Administration records from the United States National Archives (microfilm), 1935-1948",5,5
"Brooklyn Museum interviews of artists, 1965-1968",5,4
"Photographs relating to the WPA Southern California Art Project, circa 1937-1941",5,4
"Perls Galleries records, 1937-1997",5,3
"Irene Rice Pereira papers, 1965",5,4
"Esteban Vicente papers, 1951-1972",5,3
"Elihu Vedder papers, 1804-1969, bulk 1840-1923",5,5
"Miscellaneous letters, notes and clippings relating to Elihu Vedder, 1857-1918",5,4
"Louis Bunce papers, 1890s-1983",5,3
"Jules Langsner papers, circa 1910s-1998, bulk 1950-1967",5,3
"Ward Lockwood papers, 1913-1963",5,5
"Emma Stebbins scrapbook, 1858-1882",5,4
"Gifford Beal sketches, sketchbooks, and papers, 1889-2001, bulk 1900-1954",5,3
"A. Hyatt Mayor papers, 1815-1980",5,5
"Thomas Hayes photographs, ca. 1935-1945",5,5
"Increase Robinson photographs, 1909-1920",5,1
"Barbara Rose papers, 1962-circa 1969",5,4
"Art League of Houston papers, 1948-1983",5,4
"Charles Henry Hart papers, 1774-1930, bulk 1888-1918",5,3
"Photographs of artists taken by Kay Bell Reynal, 1952",5,4
"Woman's Building records, 1970-1992",5,2
"Peggy Bacon papers, 1893-1973, bulk 1900-1936",5,3
"Bernard Zakheim papers, ca. 1930-1977",5,2
"John McLaughlin papers, 1922-1979, bulk 1936-1976",5,4
"Charles Henry Alston papers, 1924-1980",5,5
"Emil Armin papers, 1922-1977",5,2
"The sculpture of Hiram Powers / by Paul B. Metzler, undated",5,5
"Donald S. Graham papers relating to Walt Kuhn, 1955-1991",5,5
"Charles W. White papers, 1933-1987, bulk 1960s-1970s",5,4
"Mary Fanton Roberts papers, 1880-1956",5,4
"Joseph R. Woodwell letters, 1862-1868",5,4
"Edward Beatty Rowan papers, 1929-1946",5,5
"Louis Guglielmi papers, 1934-1959",5,3
"Maynard Walker Gallery records, 1923-1975",5,4
"Elizabeth Gardner Bouguereau papers, 1853-1977",5,5
"Allan Frumkin Gallery records, 1880, 1944-2016",5,5
